elapsed_s,cost
40.976,16957100.0
40.976,16555000.0
40.976,16536800.0
40.976,16551700.0
40.976,16533400.0
40.976,16529000.0
40.976,16526600.0
40.976,3503660000.0
40.976,307966000.0
40.976,25523400.0
40.976,16529400.0
40.976,16525400.0
40.976,77712100.0
40.976,19206000.0
40.976,16550100.0
40.976,16524900.0
40.976,16525100.0
40.976,16547100.0
40.976,16526100.0
40.976,16522300.0
40.976,16520200.0
40.976,16516300.0
40.976,16511700.0
40.976,16617000.0
40.976,16513700.0
40.976,16510200.0
40.976,16576500.0
40.976,16515800.0
40.976,16509400.0
40.976,17779900.0
40.976,16566200.0
40.976,16512100.0
40.976,16506000.0
40.976,16503300.0
40.976,16501000.0
40.976,16499800.0
40.976,16498000.0
40.976,16495600.0
40.976,16491900.0
40.976,16494300.0
40.976,16490400.0
40.976,16488400.0
40.976,16487300.0
40.976,16484300.0
40.976,16483100.0
40.976,16481800.0
40.976,16478800.0
40.976,16479700.0
40.976,16478000.0
40.976,16476400.0
40.976,16473300.0
40.976,16470900.0
40.976,16607000.0
40.976,16479700.0
40.976,16470200.0
40.976,16468300.0
40.976,16466700.0
40.976,16464200.0
40.976,16462200.0
40.976,16458100.0
40.976,16454200.0
40.976,16451300.0
40.976,16448100.0
40.976,16463600.0
40.976,16446000.0
40.976,16448600.0
40.976,16443200.0
40.976,16440800.0
40.976,16438500.0
40.976,16436000.0
40.976,16433800.0
40.976,16430300.0
40.976,16425300.0
40.976,16421800.0
40.976,16417100.0
40.976,19285900.0
40.976,16430500.0
40.976,16414100.0
40.976,44811500.0
40.976,18344300.0
40.976,16502800.0
40.976,16414000.0
40.976,16416500.0
40.976,16408400.0
40.976,16405600.0
40.976,16405300.0
40.976,16398100.0
40.976,16395000.0
40.976,16389600.0
40.976,16386200.0
40.976,16384200.0
40.976,16384800.0
40.976,16383200.0
40.976,16383100.0
40.976,16379200.0
40.976,16377300.0
40.976,16375400.0
40.976,16372500.0
40.976,16369600.0
40.976,16367600.0
40.976,16364400.0
40.976,16364100.0
40.976,16360400.0
40.976,16357800.0
40.976,16373400.0
40.976,16356100.0
40.976,16352000.0
40.976,16351400.0
40.976,16347800.0
40.976,16345400.0
40.976,16342500.0
40.976,16344700.0
40.976,16338700.0
40.976,16334900.0
40.976,16331700.0
40.976,16329800.0
40.976,16326900.0
40.976,16326000.0
40.976,16323900.0
40.976,16435700.0
40.976,16326300.0
40.976,16322100.0
40.976,16320400.0
40.976,16321300.0
40.976,16319500.0
40.976,16318200.0
40.976,16317500.0
40.976,16316300.0
40.976,16315600.0
40.976,16315300.0
40.976,16314500.0
40.976,16313400.0
40.976,16312400.0
40.976,16311300.0
40.976,16309100.0
40.976,16307400.0
46.04,16305700.0
46.04,16303500.0
46.04,16301300.0
46.04,16300300.0
46.04,16298800.0
46.04,16297600.0
46.04,16296300.0
46.04,16295000.0
46.04,16294600.0
46.04,16293400.0
46.04,16292300.0
46.04,16291100.0
46.04,16292100.0
46.04,16289900.0
46.04,16288100.0
46.04,16286400.0
46.04,16284800.0
46.04,16283200.0
46.04,16281400.0
46.04,16279800.0
46.04,16277900.0
46.04,16276600.0
46.04,16275600.0
46.04,16274800.0
46.04,16273800.0
46.04,16273000.0
46.04,16272600.0
46.04,16272000.0
46.04,16271500.0
46.04,16271100.0
46.04,16270700.0
46.04,16270100.0
46.04,16269200.0
46.04,16267500.0
46.04,16265000.0
46.04,16262200.0
46.04,16260200.0
46.04,48350100.0
46.04,16681200.0
46.04,16285200.0
46.04,16259400.0
46.04,16258000.0
46.04,16256800.0
46.04,16255900.0
46.04,16254000.0
46.04,16253700.0
46.04,16251700.0
46.04,16250800.0
46.04,16249700.0
46.04,16248300.0
46.04,16247100.0
46.04,16245500.0
46.04,16244500.0
46.04,16243300.0
46.04,16241500.0
46.04,16240200.0
46.04,16238700.0
46.04,16238100.0
46.04,16237100.0
46.04,16252900.0
46.04,16235600.0
46.04,16234400.0
46.04,16247900.0
46.04,16236800.0
46.04,16234200.0
46.04,16231700.0
46.04,16230100.0
46.04,16304500.0
46.04,16228800.0
46.04,26054200.0
46.04,17007200.0
46.04,16285100.0
46.04,16231900.0
46.04,16228700.0
46.04,16230500.0
46.04,16227600.0
46.04,16227100.0
46.04,16226500.0
46.04,16225900.0
46.04,16225500.0
46.04,16224900.0
46.04,16224200.0
46.04,16223100.0
46.04,16221800.0
46.04,16220300.0
46.04,16218700.0
46.04,16216800.0
46.04,16216100.0
46.04,16530800.0
46.04,16238500.0
46.04,16217800.0
46.04,16214400.0
46.04,16212900.0
46.04,16212000.0
46.04,16210700.0
46.04,16209800.0
46.04,16208500.0
46.04,16207200.0
46.04,16206100.0
46.04,16204300.0
46.04,16202400.0
46.04,16202200.0
46.04,16233700.0
46.04,16204500.0
46.04,16200900.0
46.04,16198700.0
46.04,16197600.0
46.04,16196100.0
46.04,16194900.0
46.04,16193600.0
46.04,16193000.0
46.04,16210400.0
46.04,16193100.0
46.04,16191800.0
46.04,16190600.0
46.04,16189100.0
46.04,16186300.0
46.04,16211100.0
46.04,16186300.0
46.04,16186300.0
46.04,16184800.0
46.04,16183400.0
46.04,16181500.0
46.04,16178900.0
46.04,16177100.0
46.04,16174900.0
46.04,16173200.0
46.04,16178800.0
46.04,16173100.0
46.04,16171800.0
46.04,16171300.0
46.04,16170800.0
46.04,16169900.0
46.04,16169100.0
46.04,16168000.0
46.04,16167000.0
46.04,16171300.0
46.04,16167400.0
46.04,16166800.0
46.04,16166000.0
46.04,16165200.0
46.04,16164600.0
46.04,16165100.0
46.04,16164200.0
46.04,16165200.0
46.04,16163800.0
46.04,16198400.0
46.04,16170100.0
46.04,16164300.0
46.04,16163400.0
46.04,16162700.0
46.04,16162100.0
46.04,16161500.0
46.04,16160700.0
46.04,16160200.0
46.04,16159500.0
46.04,16158700.0
46.04,16157900.0
46.04,16157500.0
46.04,16156700.0
46.04,16155900.0
46.04,16155100.0
46.04,16157100.0
46.04,16154900.0
46.04,16154200.0
46.04,16153800.0
46.04,16153400.0
46.04,16153000.0
46.04,16152200.0
46.04,16151100.0
46.04,16150500.0
46.04,16149600.0
46.04,16149000.0
46.04,16148300.0
46.04,16147700.0
46.04,16147000.0
46.04,16146400.0
46.04,16145800.0
46.04,16144700.0
46.04,16144000.0
51.103,16143000.0
51.103,16148400.0
51.103,16142500.0
51.103,16142700.0
51.103,16142000.0
51.103,16141500.0
51.103,16140500.0
51.103,16735000.0
51.103,16149100.0
51.103,16140100.0
51.103,24216400.0
51.103,16740900.0
51.103,16182600.0
51.103,16142900.0
51.103,16140100.0
51.103,16140000.0
51.103,738127000.0
51.103,23689200.0
51.103,16139000.0
51.103,16138400.0
51.103,16138000.0
51.103,16137700.0
51.103,16138300.0
51.103,16137600.0
