variant,failure_type,component,start_time_s,end_time_s,phase,min_value
loose,collision,rotor_3,2.99125,2.9925,insert,0.009238398048536286
loose,collision,rotor_3,2.995,2.99625,insert,0.009481576449937162
loose,collision,rotor_3,3.01125,3.01375,insert,0.009688247829622368
loose,collision,rotor_3,3.03125,3.045,insert,0.008935235680868089
loose,collision,rotor_3,3.06625,3.0775,pull,0.009072147841213386
loose,collision,rotor_3,3.0975,3.14625,pull,0.004062320213235654
loose,collision,rotor_3,3.16,3.1662500000000002,pull,0.00895462951741197
loose,collision,rotor_3,3.1825,3.18875,pull,0.007925802666964096
loose,collision,rotor_3,3.345,3.345,pull,0.009918459964262433
loose,collision,rotor_3,3.9137500000000003,3.93125,retreat,0.00494267657951253
loose,collision,rotor_3,3.94125,3.9575,retreat,0.004644555560128681
loose,collision,rotor_3,3.96,3.97375,retreat,0.005916584427334637
loose,collision,rotor_3,3.98875,3.99,retreat,0.009864973629582705
loose,collision,rotor_3,4.0425,4.05375,retreat,0.004428145608526673
loose,collision,rotor_3,4.07625,4.08625,retreat,0.004966858208756262
loose,collision,rotor_3,4.09375,4.1,retreat,0.007696583916409911
loose,collision,rotor_3,4.105,4.1125,retreat,0.007365859428728513
loose,collision,rotor_3,4.11625,4.13625,retreat,0.004918073539358995
loose,collision,rotor_3,4.14,4.1475,retreat,0.006947271977682723
loose,collision,rotor_3,4.16,4.1625,retreat,0.009350952850467534
loose,collision,rotor_3,4.16625,4.1762500000000005,retreat,0.004072129033566995
loose,collision,rotor_3,4.18,4.1850000000000005,retreat,0.008624801747553005
loose,collision,rotor_3,4.18875,4.1925,retreat,0.009116871375730995
loose,collision,rotor_3,4.195,4.21375,retreat,0.006324765676369217
loose,collision,rotor_3,4.23125,4.245,retreat,0.0037327395629114255
loose,collision,rotor_3,4.255,4.26875,retreat,0.005376562399386692
loose,collision,rotor_3,4.2875000000000005,4.29625,retreat,0.009031056960437175
loose,collision,rotor_3,4.29875,4.31625,retreat,0.00585559926923353
loose,collision,rotor_3,4.3187500000000005,4.3325000000000005,retreat,0.00811801927209392
loose,collision,rotor_3,4.3525,4.37125,retreat,0.006298481056166068
loose,collision,rotor_3,4.415,4.4325,retreat,0.0038052559204919175
loose,collision,rotor_3,4.46375,4.4825,return,0.00189775183291586
loose,collision,rotor_3,4.48625,4.495,return,0.008522372319849975
loose,collision,rotor_3,4.515,4.52625,return,0.0075996769573928565
loose,collision,rotor_4,1.2862500000000001,1.29875,insert,0.0009914468080753553
loose,collision,rotor_4,1.3025,1.30875,insert,0.00847298018982284
loose,collision,rotor_4,1.3225,1.32625,insert,0.009463184730273811
loose,collision,rotor_4,1.3375000000000001,1.3425,insert,0.009213978085749799
loose,collision,rotor_4,1.385,1.4000000000000001,insert,0.0043649046041635865
loose,collision,rotor_4,1.40625,1.42,insert,0.00882132162037813
loose,collision,rotor_4,1.42625,1.44125,insert,0.005489597429934867
loose,collision,rotor_4,1.46875,1.47125,insert,0.009871578495518436
loose,collision,rotor_4,1.48125,1.50875,insert,0.0016812531336112557
loose,collision,rotor_4,1.5125,1.55125,insert,0.0046045880181879596
loose,collision,rotor_4,1.55375,1.575,insert,0.0064434715635500045
loose,collision,rotor_4,1.5875000000000001,1.6087500000000001,insert,0.003924080119285881
loose,collision,rotor_4,1.61125,1.625,insert,0.007043160244521523
loose,collision,rotor_4,1.6475,1.6500000000000001,insert,0.009759623890776278
loose,collision,rotor_4,1.6525,1.685,insert,0.0010780834551639973
loose,collision,rotor_4,1.6875,1.7025000000000001,insert,0.0019075633549676023
loose,collision,rotor_4,1.705,1.71625,insert,0.004345886047346316
loose,collision,rotor_4,1.72125,1.7275,insert,0.007688296418909471
loose,collision,rotor_4,1.74875,1.75875,insert,0.004176192610162585
loose,collision,rotor_4,1.76625,1.77125,insert,0.008410706384760746
loose,collision,rotor_4,1.77625,1.78375,insert,0.00605513611817266
loose,collision,rotor_4,1.835,1.84,insert,0.00769836334917366
loose,collision,rotor_4,1.8625,1.87375,insert,0.005887042351167194
loose,collision,rotor_4,1.87625,1.8925,insert,0.002775961824244926
loose,collision,rotor_4,1.895,1.9125,insert,0.005423507927672026
loose,collision,rotor_4,4.26625,4.2775,retreat,0.007983543914841981
loose,collision,rotor_4,4.31375,4.33375,retreat,0.00382378375903055
loose,collision,rotor_4,4.3950000000000005,4.415,retreat,0.003945457001682865
loose,collision,rotor_4,4.41875,4.45875,retreat,0.006048662258904228
loose,collision,rotor_4,4.4625,4.46875,return,0.009348110904075472
loose,collision,rotor_4,4.47375,4.485,return,0.007790167977400827
loose,collision,rotor_4,4.50375,4.51,return,0.008860454446085332
loose,collision,rotor_4,4.52625,4.54375,return,0.004537718728822856
loose,collision,rotor_4,4.5512500000000005,4.56375,return,0.002382742819611958
loose,collision,rotor_4,4.57125,4.58375,return,0.002776940227784478
loose,collision,rotor_4,4.5925,4.60375,return,0.0030650185101821874
loose,collision,rotor_4,4.62625,4.6312500000000005,return,0.009011301617877216
loose,collision,rotor_4,4.64625,4.655,return,0.007611341919411804
loose,collision,rotor_4,4.66625,4.6762500000000005,return,0.006381810538977418
loose,collision,rotor_4,4.755,4.755,return,0.009893973065345013
loose,collision,rotor_4,4.77375,4.7825,return,0.007657864790243731
loose,collision,rotor_4,4.79375,4.8075,return,0.003332804132063243
loose,collision,upper_arm_2,4.1225000000000005,4.3012500000000005,retreat,-0.00912650243509273
loose,collision,upper_arm_3,4.635,4.6475,return,0.008561982382619572
loose,collision,upper_arm_3,4.6725,4.6937500000000005,return,0.005163460211831143
loose,collision,lower_arm_2_left,4.1175,4.28625,retreat,-0.008582747557100508
loose,collision,lower_arm_2_right,4.14375,4.31625,retreat,-0.00909807234884687
loose,collision,lower_arm_3_left,4.6175,4.64375,return,0.003141510265293232
loose,collision,lower_arm_3_left,4.6575,4.68625,return,0.0009121386017275513
loose,collision,lower_arm_3_right,4.6875,4.69875,return,0.00872025836031169
loose,joint,q_branch,1.98875,2.52125,insert,-0.165359214191
loose,joint,q_branch,2.53625,3.12875,insert,-0.06720023166510347
loose,joint,q_branch,3.37,4.54625,pull,-0.317301140758
loose,joint,q_branch,4.71875,5.75625,return,-0.365019798825
loose,joint,q_branch,5.78125,6.98125,return,-0.35199095391
nominal,collision,body,3.19875,3.35875,insert,-0.0016243651868184938
nominal,collision,body,3.88,4.17125,insert,-0.006766594390683334
nominal,collision,body,4.8412500000000005,5.9825,retreat,-0.0684855999417475
nominal,collision,rotor_1,1.32,1.3325,insert,0.0032301390551270188
nominal,collision,rotor_1,1.34375,1.3487500000000001,insert,0.009169419283880736
nominal,collision,rotor_1,2.8575,2.86375,insert,0.008706196945518054
nominal,collision,rotor_1,2.8675,2.87625,insert,0.005538403667653615
nominal,collision,rotor_1,2.88375,2.8925,insert,0.004707538718643848
nominal,collision,rotor_1,2.895,2.9162500000000002,insert,0.005705699352253639
nominal,collision,rotor_1,2.97,2.9787500000000002,insert,0.003450389565649057
nominal,collision,rotor_1,2.98125,2.985,insert,0.009352915167922873
nominal,collision,rotor_1,2.99625,3.00125,insert,0.008230824714390855
nominal,collision,rotor_1,3.0075000000000003,3.015,insert,0.006396700142761322
nominal,collision,rotor_1,3.0175,3.02375,insert,0.007012042177367773
nominal,collision,rotor_1,3.04625,3.04625,insert,0.009930170529541671
nominal,collision,rotor_1,3.05625,3.06,insert,0.00901465999032704
nominal,collision,rotor_1,3.0812500000000003,3.08625,insert,0.008853606486622976
nominal,collision,rotor_1,3.0925000000000002,3.1012500000000003,insert,0.006812477923039197
nominal,collision,rotor_1,3.2487500000000002,3.25375,insert,0.009561966583632682
nominal,collision,rotor_1,3.2687500000000003,3.275,insert,0.009459507670118052
nominal,collision,rotor_1,5.39875,5.4075,retreat,0.007359964232951946
nominal,collision,rotor_1,5.59875,5.615,return,0.00780177971161408
nominal,collision,rotor_1,5.66375,5.675,return,0.008042910432549333
nominal,collision,rotor_1,5.73125,5.73375,return,0.008809004412991865
nominal,collision,rotor_1,5.74375,5.74625,return,0.009251405793678608
nominal,collision,rotor_1,5.75375,5.755,return,0.009281899109254213
nominal,collision,rotor_1,5.82875,5.84375,return,0.002260335060893925
nominal,collision,rotor_1,5.8637500000000005,5.87,return,0.00934330973119387
nominal,collision,rotor_1,5.88625,5.92125,return,0.0048981588158237286
nominal,collision,rotor_1,5.92375,5.9275,return,0.009658585044572685
nominal,collision,rotor_1,5.94625,5.95875,return,0.0075941473281187005
nominal,collision,rotor_1,5.9625,5.9825,return,0.0033302644719740396
nominal,collision,rotor_1,5.9887500000000005,6.0,return,0.008630349622434584
nominal,collision,rotor_1,6.005,6.01125,return,0.009299994922735018
nominal,collision,rotor_1,6.0275,6.03375,return,0.009567672754132502
nominal,collision,rotor_1,6.05,6.06375,return,0.007945769419538094
nominal,collision,rotor_1,6.0725,6.08625,return,0.007843482371014922
nominal,collision,rotor_1,6.1312500000000005,6.1425,return,0.008506331517146118
nominal,collision,rotor_1,6.1775,6.19625,return,0.0037826060228159553
nominal,collision,rotor_1,6.202500000000001,6.2075000000000005,return,0.009527045361463503
nominal,collision,rotor_1,6.22,6.2250000000000005,return,0.00927669332596706
nominal,collision,rotor_1,6.24875,6.25875,return,0.005273243367080927
nominal,collision,rotor_1,6.32625,6.335,return,0.0028203212713306717
nominal,collision,rotor_2,3.19375,3.21,insert,0.004672718998464509
nominal,collision,rotor_2,3.36625,3.375,insert,0.009126713025616132
nominal,collision,rotor_2,3.4250000000000003,3.43875,insert,0.008474000683045619
nominal,collision,rotor_2,3.4562500000000003,3.45875,insert,0.00992917611483578
nominal,collision,rotor_2,3.50125,3.51625,insert,0.008402746760140767
nominal,collision,rotor_2,3.5375,3.5675,insert,0.0027892031857626705
nominal,collision,rotor_2,3.5825,3.61125,insert,0.0038539884468950995
nominal,collision,rotor_2,3.76125,3.77,insert,0.009062659067767142
nominal,collision,rotor_2,3.79,3.79375,insert,0.009827950059703607
nominal,collision,rotor_2,3.88625,3.8975,insert,0.003500652045020821
nominal,collision,rotor_2,3.9175,3.9175,insert,0.00764717409117122
nominal,collision,rotor_2,3.92,3.92,insert,0.009359592643673977
nominal,collision,rotor_2,3.92375,3.92375,insert,0.009168698544399941
nominal,collision,rotor_2,3.92625,3.9275,insert,0.008235101348208812
nominal,collision,rotor_2,3.93,3.93125,insert,0.008397567117060679
nominal,collision,rotor_2,3.9337500000000003,3.9362500000000002,insert,0.007017740660710088
nominal,collision,rotor_2,3.9675000000000002,3.9762500000000003,insert,0.0022618531918215724
nominal,collision,rotor_2,3.9787500000000002,3.98875,pull,0.006146761871534125
nominal,collision,rotor_2,4.05,4.06125,pull,0.009206811591997462
nominal,collision,rotor_2,4.0875,4.11,pull,0.007350653363438962
nominal,collision,rotor_2,4.1175,4.15,pull,0.004791625327790541
nominal,collision,rotor_2,4.1575,4.2700000000000005,pull,0.004349471479285687
nominal,collision,rotor_2,4.28625,4.30375,pull,0.005217634318273132
nominal,collision,rotor_2,4.30625,4.315,pull,0.00913225430149521
nominal,collision,rotor_2,4.32125,4.3375,pull,0.0075162609813991775
nominal,collision,rotor_2,4.3625,4.39625,buffer,0.005692593942468633
nominal,collision,rotor_2,4.49125,4.55,buffer,0.0033316074914218957
nominal,collision,rotor_2,4.5525,4.5687500000000005,buffer,0.007873693514950134
nominal,collision,rotor_2,4.5725,4.5775,buffer,0.009633380292197971
nominal,collision,rotor_2,4.5925,4.60875,buffer,0.005345642901127921
nominal,collision,rotor_2,4.6275,4.65875,buffer,0.004269177846320201
nominal,collision,rotor_2,4.6725,4.6825,buffer,0.009207443569371518
nominal,collision,rotor_2,4.6850000000000005,4.6875,buffer,0.009929012803886056
nominal,collision,rotor_2,4.715,4.7250000000000005,buffer,0.009043878905312556
nominal,collision,rotor_2,4.73375,4.7562500000000005,buffer,0.004957470363578767
nominal,collision,rotor_2,4.76125,4.78125,buffer,0.00621808511167303
nominal,collision,rotor_2,5.115,5.12125,retreat,0.007303867814086854
nominal,collision,rotor_3,3.24125,3.265,insert,0.0028670705313713894
nominal,collision,rotor_3,3.2675,3.2875,insert,0.0061789089238959965
nominal,collision,rotor_3,3.305,3.31875,insert,0.008505644093968446
nominal,collision,rotor_3,3.3312500000000003,3.34625,insert,0.00818542399694364
nominal,collision,rotor_3,3.39875,3.40625,insert,0.009562243157308022
nominal,collision,rotor_3,3.52,3.5412500000000002,insert,0.0065180665773756155
nominal,collision,rotor_3,3.54375,3.5825,insert,0.007360865966169151
nominal,collision,rotor_3,3.585,3.605,insert,0.006769193075022892
nominal,collision,rotor_3,3.60875,3.625,insert,0.008090344808041492
nominal,collision,rotor_3,3.65,3.67125,insert,0.005373223348168528
nominal,collision,rotor_3,3.70875,3.7225,insert,0.007752070904306346
nominal,collision,rotor_3,3.7275,3.74,insert,0.008729408348744628
nominal,collision,rotor_3,3.7887500000000003,3.8000000000000003,insert,0.008787505855502208
nominal,collision,rotor_3,3.82375,3.82875,insert,0.009730527510851796
nominal,collision,rotor_3,3.84375,3.86875,insert,0.005152229586960512
nominal,collision,rotor_3,3.8725,3.8850000000000002,insert,0.0056503817035917295
nominal,collision,rotor_3,3.89875,3.9025000000000003,insert,0.007576017660016408
nominal,collision,rotor_3,3.9050000000000002,3.9075,insert,0.006544994822919045
nominal,collision,rotor_3,3.935,3.93875,insert,0.008554296866507546
nominal,collision,rotor_3,3.94125,3.9525,insert,0.005730760977728734
nominal,collision,rotor_3,3.99,3.9975,pull,0.009526683800037856
nominal,collision,rotor_3,4.0,4.005,pull,0.009808512987341336
nominal,collision,rotor_3,4.03375,4.0475,pull,0.008256636690101966
nominal,collision,rotor_3,4.0675,4.08125,pull,0.009030997673071956
nominal,collision,rotor_3,4.1075,4.1175,pull,0.009637276218207303
nominal,collision,rotor_3,4.13875,4.17125,pull,0.005502727378345653
nominal,collision,rotor_3,4.17375,4.22375,pull,0.00244187724451498
nominal,collision,rotor_3,4.3500000000000005,4.3637500000000005,buffer,0.006219071251969389
nominal,collision,rotor_3,4.55375,4.5675,buffer,0.004239590240424801
nominal,collision,rotor_3,4.67,4.69125,buffer,0.0011980925845452761
nominal,collision,rotor_3,4.6937500000000005,4.69875,buffer,0.008908140687865504
nominal,collision,rotor_3,4.76125,4.76875,buffer,0.0067680756035075305
nominal,collision,rotor_3,4.7725,4.7825,buffer,0.005539203838883836
nominal,collision,rotor_3,4.78875,4.79375,buffer,0.00911649093781084
nominal,collision,rotor_3,4.80625,4.8175,buffer,0.007387614733395611
nominal,collision,rotor_3,4.8225,4.8412500000000005,retreat,0.004362796852232669
nominal,collision,rotor_3,4.93125,4.9425,retreat,0.008431976010742597
nominal,collision,rotor_3,4.955,4.965,retreat,0.0090664989147846
nominal,collision,rotor_3,4.98125,4.9887500000000005,retreat,0.008881733053948088
nominal,collision,rotor_3,5.0287500000000005,5.03125,retreat,0.009719180310087375
nominal,collision,rotor_3,5.055,5.07125,retreat,0.006843495131418652
nominal,collision,rotor_3,5.08625,5.10875,retreat,0.0016469715222794934
nominal,collision,rotor_3,5.12125,5.13625,retreat,0.007290353060571763
nominal,collision,rotor_3,5.1775,5.18625,retreat,0.00740928094935492
nominal,collision,rotor_3,5.18875,5.2,retreat,0.005864825340835648
nominal,collision,rotor_3,5.215,5.23,retreat,0.004639151807168579
nominal,collision,rotor_3,5.24125,5.2525,retreat,0.007738585788748364
nominal,collision,rotor_3,5.26625,5.2875000000000005,retreat,0.004343161821137193
nominal,collision,rotor_3,5.41375,5.4375,retreat,0.00430622488867787
nominal,collision,rotor_3,5.455,5.46125,return,0.009158575376848284
nominal,collision,rotor_3,5.46375,5.4662500000000005,return,0.0098590640438328
nominal,collision,rotor_3,5.47875,5.485,return,0.009248805272392397
nominal,collision,rotor_3,5.4875,5.49125,return,0.009663370044460419
nominal,collision,rotor_3,5.49875,5.50875,return,0.007787797931664929
nominal,collision,rotor_3,5.5200000000000005,5.53375,return,0.005378115717610544
nominal,collision,rotor_4,1.3175000000000001,1.325,insert,0.007986925938924574
nominal,collision,rotor_4,1.3275000000000001,1.335,insert,0.00767143549917264
nominal,collision,rotor_4,1.3375000000000001,1.3425,insert,0.008933034046306689
nominal,collision,rotor_4,1.35625,1.35625,insert,0.009971766951937366
nominal,collision,rotor_4,1.3625,1.38125,insert,0.005626260790716812
nominal,collision,rotor_4,1.39625,1.41,insert,0.00481513326732677
nominal,collision,rotor_4,1.41875,1.43,insert,0.007154720722858735
nominal,collision,rotor_4,1.44375,1.44875,insert,0.009426615969787782
nominal,collision,rotor_4,1.48,1.48,insert,0.009975720952959974
nominal,collision,rotor_4,1.5,1.5175,insert,0.006401915026443038
nominal,collision,rotor_4,1.53375,1.555,insert,0.006582217538070731
nominal,collision,rotor_4,1.5575,1.58125,insert,0.006708361520575568
nominal,collision,rotor_4,1.58625,1.6025,insert,0.008929473659138529
nominal,collision,rotor_4,1.605,1.6300000000000001,insert,0.006811487810431672
nominal,collision,rotor_4,1.7650000000000001,1.77,insert,0.009239958247216204
nominal,collision,rotor_4,1.78,1.78375,insert,0.009259122220944632
nominal,collision,rotor_4,1.80875,1.81375,insert,0.008631381597443278
nominal,collision,rotor_4,1.87125,1.87125,insert,0.009926687609774547
nominal,collision,rotor_4,2.92625,2.9375,insert,0.005421881221158541
nominal,collision,rotor_4,2.9575,2.96375,insert,0.008425162071462523
nominal,collision,rotor_4,2.97625,2.98375,insert,0.00742052510130802
nominal,collision,rotor_4,2.9925,3.0025,insert,0.0042097945507237255
nominal,collision,rotor_4,3.2625,3.27625,insert,0.008514391379588199
nominal,collision,rotor_4,3.38625,3.395,insert,0.009385278346802412
nominal,collision,rotor_4,5.16625,5.1725,retreat,0.007238622577122133
nominal,collision,rotor_4,5.18125,5.18375,retreat,0.009328146966528618
nominal,collision,rotor_4,5.18875,5.19,retreat,0.0097845315615829
nominal,collision,rotor_4,5.195,5.20375,retreat,0.007458320912474005
nominal,collision,rotor_4,5.22375,5.23,retreat,0.009269333154018932
nominal,collision,rotor_4,5.23625,5.24375,retreat,0.009007850743536177
nominal,collision,rotor_4,5.24625,5.26375,retreat,0.00562965521095424
nominal,collision,rotor_4,5.28125,5.30375,retreat,0.00429633175512632
nominal,collision,rotor_4,5.3175,5.34,retreat,0.005300078049621501
nominal,collision,rotor_4,5.35125,5.355,retreat,0.009848016506670085
nominal,collision,rotor_4,5.35875,5.42,retreat,0.005028552999288704
nominal,collision,rotor_4,5.42875,5.44,retreat,0.0075931705087903525
nominal,collision,rotor_4,5.46,5.4662500000000005,return,0.009208233246288383
nominal,collision,rotor_4,5.485,5.4887500000000005,return,0.009558723825914503
nominal,collision,rotor_4,5.545,5.5725,return,0.002080734963698035
nominal,collision,rotor_4,5.605,5.6225000000000005,return,0.0064578745003286185
nominal,collision,rotor_4,5.63,5.65625,return,0.005234482959524338
nominal,collision,rotor_4,5.6825,5.72375,return,0.001339968265268193
nominal,collision,rotor_4,5.7275,5.73625,return,0.008610197842524174
nominal,collision,rotor_4,5.7425,5.745,return,0.009886126736102313
nominal,collision,rotor_4,5.76375,5.78375,return,0.0024188598313486026
nominal,collision,rotor_4,5.79625,5.8100000000000005,return,0.006829081744926677
nominal,collision,upper_arm_2,5.0512500000000005,5.21875,retreat,-0.007415462966724701
nominal,collision,upper_arm_3,5.715,5.76125,return,0.0035336029194792187
nominal,collision,upper_arm_3,5.79375,5.8425,return,0.002121804940925223
nominal,collision,lower_arm_2_left,5.03625,5.205,retreat,-0.008803182193960195
nominal,collision,lower_arm_2_right,5.065,5.235,retreat,-0.007733513068047903
nominal,collision,lower_arm_3_left,5.6850000000000005,5.8275,return,0.0007409121839563656
nominal,collision,lower_arm_3_right,5.745,5.765,return,0.008835511519538939
nominal,collision,lower_arm_3_right,5.81625,5.85375,return,0.005957392642350094
nominal,joint,q_branch,1.66375,1.92375,insert,-0.06823485550510333
nominal,joint,q_branch,2.63375,3.15375,insert,-0.157226200406
nominal,joint,q_branch,3.7525,4.0275,insert,-0.05338827981510352
nominal,joint,q_branch,4.33875,5.09,pull,-0.15187739025510338
nominal,joint,q_branch,6.76375,7.79875,return,-0.216050521157
nominal_repeat,collision,body,3.19875,3.35875,insert,-0.0016243651868184938
